namespace	name	group	subclassOf	type	version	previous_version	previous_release	url
bioschemas	Course	Training	schema:Course	Profile	0.9-DRAFT-2020_12_08	0.8-DRAFT-2020_10_06		https://github.com/BioSchemas/specifications/blob/master/Course/jsonld/Course_v0.9-DRAFT-2020_12_08.json
bioschemas	CourseInstance	Training	schema:CourseInstance	Profile	0.8-DRAFT-2020_10_06	0.7-DRAFT-2019_11_08		https://github.com/BioSchemas/specifications/blob/master/CourseInstance/jsonld/CourseInstance_v0.8-DRAFT-2020_10_06.json
bioschemas	Event	Events	schema:Event	Profile	0.2-DRAFT-2019_06_14	0.1-DRAFT-2018_03_10		https://github.com/BioSchemas/specifications/blob/master/Event/jsonld/Event_v0.2-DRAFT-2019_06_14.json
bioschemas	Journal	Scholarly Publications	schema:CreativeWorkSeries	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_11_21		https://github.com/BioSchemas/specifications/blob/master/Journal/jsonld/Journal_v0.2-DRAFT-2020_12_03.json
bioschemas	LabProtocol	Laboratory Protocols	schema:HowTo	Profile	0.6-DRAFT-2020_12_08	0.5-DRAFT-2020_09_01		https://github.com/BioSchemas/specifications/blob/master/LabProtocol/jsonld/LabProtocol_v0.6-DRAFT-2020_12_08.json
bioschemas	Organization	Organizations	schema:Organization	Profile	0.2-DRAFT-2019_07_19	0.2-DRAFT-2019_07_17		https://github.com/BioSchemas/specifications/blob/master/Organization/jsonld/Organization_v0.2-DRAFT-2019_07_19.json
bioschemas	Person	People	schema:Person	Profile	0.2-DRAFT-2019_07_19	0.1-DRAFT-2018_03_14		https://github.com/BioSchemas/specifications/blob/master/Person/jsonld/Person_v0.2-DRAFT-2019_07_19.json
bioschemas	Phenotype	Phenotypes	schema:Thing	Profile	0.2-DRAFT	0.1-DRAFT-2018_11_15		https://github.com/BioSchemas/specifications/blob/master/Phenotype/jsonld/Phenotype_v0.2-DRAFT.json
bioschemas	PublicationIssue	Scholarly Publications	schema:PublicationIssue	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_02_08		https://github.com/BioSchemas/specifications/blob/master/PublicationIssue/jsonld/PublicationIssue_v0.2-DRAFT-2020_12_03.json
bioschemas	PublicationVolume	Scholarly Publications	schema:PublicationVolume	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_02_15		https://github.com/BioSchemas/specifications/blob/master/PublicationVolume/jsonld/PublicationVolume_v0.2-DRAFT-2020_12_03.json
bioschemas	ScholarlyArticle	Scholarly Publications	schema:ScholarlyArticle	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_03_15		https://github.com/BioSchemas/specifications/blob/master/ScholarlyArticle/jsonld/ScholarlyArticle_v0.2-DRAFT-2020_12_03.json
bioschemas	SemanticTextAnnotation	Scholarly Publications	schema:CreativeWork	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_11_19		https://github.com/BioSchemas/specifications/blob/master/SemanticTextAnnotation/jsonld/SemanticTextAnnotation_v0.2-DRAFT-2020_12_03.json
bioschemas	TrainingMaterial	Training	schema:LearningResource	Profile	0.9-DRAFT-2020_12_08	0.8-DRAFT-2020_10_06		https://github.com/BioSchemas/specifications/blob/master/TrainingMaterial/jsonld/TrainingMaterial_v0.9-DRAFT-2020_12_08.json
bioschemas	TaxonName	Biodiversity	schema:CreativeWork	Profile	0.1-DRAFT			https://github.com/BioSchemas/specifications/blob/master/TaxonName/jsonld/TaxonName_v0.1-DRAFT.json
bioschemas	Study	Studies	schema:CreativeWork	Profile	0.2-DRAFT	0.1-DRAFT-2018_11_15		https://github.com/BioSchemas/specifications/blob/master/Study/jsonld/Study_v0.2-DRAFT.json
bioschemas	SequenceRange	Proteins	schema:BioChemEntity	Profile	0.1-DRAFT			https://github.com/BioSchemas/specifications/blob/master/SequenceRange/jsonld/SequenceRange_v0.1-DRAFT.json
bioschemas	RNA	DNA	schema:BioChemEntity	Profile	0.1-DRAFT-2019_11_15			https://github.com/BioSchemas/specifications/blob/master/RNA/jsonld/RNA_v0.1-DRAFT-2019_11_15.json
bioschemas	SequenceAnnotation	Proteins	schema:BioChemEntity	Profile	0.7-DRAFT	0.6-DRAFT		https://github.com/BioSchemas/specifications/blob/master/SequenceAnnotation/jsonld/SequenceAnnotation_v0.7-DRAFT.json
bioschemas	Dataset	Datasets	schema:Dataset	Profile	0.5-DRAFT	0.4-DRAFT	0.3-RELEASE-2019_06_14	https://github.com/BioSchemas/specifications/blob/master/Dataset/jsonld/Dataset_v0.5-DRAFT.json
bioschemasdrafts	Disease	Diseases	schema:MedicalCondition	Profile	0.1-DRAFT			https://github.com/BioSchemas/specifications/blob/master/Disease/jsonld/Disease_v0.1-DRAFT.json
bioschemasdrafts	Gene	Genes	schema:Gene	Profile	1.1-DRAFT	1.0-RELEASE	1.0-RELEASE	https://github.com/BioSchemas/specifications/blob/master/Gene/jsonld/Gene_v1.1-DRAFT.json
bioschemasdrafts	Protein	Proteins	schema:Protein	Profile	0.12-DRAFT	0.11-RELEASE	0.11-RELEASE	https://github.com/BioSchemas/specifications/blob/master/Protein/jsonld/Protein_v0.12-DRAFT.json
bioschemasdrafts	ProteinStructure	Proteins	schema:BioChemEntity	Profile	0.5-DRAFT-2018_08_15			https://github.com/BioSchemas/specifications/blob/master/ProteinStructure/jsonld/ProteinStructure_v0.5-DRAFT-2018_08_15.json
bioschemasdrafts	Taxon	Biodiversity	schema:Taxon	Profile	0.7-DRAFT	0.6-RELEASE	0.6-RELEASE	https://github.com/BioSchemas/specifications/blob/master/Taxon/jsonld/Taxon_v0.7-DRAFT.json
