namespace	name	group	subclassOf	type	version	previous_version	previous_release	url
bioschemas	DNA	DNA	schema:BioChemEntity	Type	0.2-DRAFT-2019_06_20	0.1-DRAFT-2018_11_13		https://github.com/BioSchemas/specifications/blob/master/DNA/jsonld/DNA_v0.2-DRAFT-2019_06_20.json
bioschemas	Enzyme	Proteins	schema:BioChemEntity	Type	0.1-DRAFT-2019_06_20			https://github.com/BioSchemas/specifications/blob/master/Enzyme/jsonld/Enzyme_v0.1-DRAFT-2019_06_20.json
bioschemas	BioChemStructure	Chemicals	schema:BioChemEntity	Type	0.1-DRAFT-2019_06_20			https://github.com/BioSchemas/specifications/blob/master/BioChemStructure/jsonld/BioChemStructure_v0.1-DRAFT-2019_06_20.json
bioschemas	SequenceMatchingModel	Proteins	schema:CreativeWork	Type	0.1-DRAFT-2019_06_21			https://github.com/BioSchemas/specifications/blob/master/SequenceMatchingModel/jsonld/SequenceMatchingModel_v0.1-DRAFT-2019_06_21.json
bioschemastypesdrafts	LabProtocol	Laboratory Protocols	schema:CreativeWork	Type	0.3-DRAFT-2020_06_20	0.2-DRAFT-2018_03_09		https://github.com/BioSchemas/specifications/blob/master/LabProtocol/jsonld/LabProtocol_v0.3-DRAFT-2019_06_20.json
bioschemastypesdrafts	Phenotype	Phenotypes	schema:Thing	Type	0.3-DRAFT-2020_06_07	0.2-DRAFT-2019_06_21		https://github.com/BioSchemas/specifications/blob/master/Phenotype/jsonld/Phenotype_v0.3-DRAFT-2020_06_07.json
bioschemastypesdrafts	RNA	DNA	schema:BioChemEntity	Type	0.1-DRAFT-2019_06_21			https://github.com/BioSchemas/specifications/blob/master/RNA/jsonld/RNA_v0.1-DRAFT-2019_06_21.json
bioschemastypesdrafts	Sample	Samples	schema:Sample	Type	0.2-DRAFT-2018_11_09	0.1-DRAFT-2018_11_07		https://github.com/BioSchemas/specifications/blob/master/Sample/jsonld/Sample_v0.2-DRAFT-2018_11_09.json
bioschemastypesdrafts	SequenceAnnotation	Proteins	schema:BioChemEntity	Type	0.1-DRAFT-2019_06_21	0.1-DRAFT-2019_06_21		https://github.com/BioSchemas/specifications/blob/master/SequenceAnnotation/jsonld/SequenceAnnotation_v0.1-DRAFT-2019_06_21.json
bioschemastypesdrafts	SequenceRange	Proteins	schema:BioChemEntity	Type	0.1-DRAFT-2019_06_21			https://github.com/BioSchemas/specifications/blob/master/SequenceRange/jsonld/SequenceRange_v0.1-DRAFT-2019_06_21.json
bioschemastypesdrafts	Study	Studies	schema:CreativeWork	Type	0.3-DRAFT	0.2-DRAFT-2019_06_21		https://github.com/BioSchemas/specifications/blob/master/Study/jsonld/Study_v0.3-DRAFT.json
bioschemastypesdrafts	TaxonName	Biodiversity	schema:CreativeWork	Type	0.1-DRAFT-TYPE			https://github.com/BioSchemas/specifications/blob/master/TaxonName/jsonld/TaxonName_v0.1-DRAFT-TYPE.json
bioschemastypesdrafts	Taxon	Biodiversity	schema:Thing	Type	0.4-DRAFT	0.3-RELEASE-2019_11_18	0.3-RELEASE-2019_11_18	https://github.com/BioSchemas/specifications/blob/master/Taxon/jsonld/Taxon_v0.4-DRAFT.json
								
					 			
